article_id,keywords tuple
76,"""""""['vàng', 'đầu tư', 'mua', 'bất động sản', 'kênh đầu tư', 'giá vàng', 'nhà đầu tư', 'đầu tư bất động sản', 'kênh', '“', 'gửi ngân hàng', 'đi', 'mua bán', 'ounce', 'tập đầu tư', 'nhà đầu tư ”', 'mua bất động sản', 'giá', 'giới đầu tư ? Nhiều nhà đầu tư', 'Giá vàng', 'đầu phiên', 'loại hình đầu tư', 'giá vàng SJC', 'giao dịch', 'kênh đầu tư bền vững', 'giá vàng 9999']"""""""
77,"""""""['quốc lộ 1', 'cao tốc Hà Nội', 'quốc lộ 5', 'quốc lộ 18', 'quốc lộ 2', 'quốc lộ 21A', 'quốc lộ 32', 'đi', 'Thái Nguyên', 'cao tốc Pháp Vân', 'Hải Phòng', 'Cục Cảnh sát giao thông']"""""""
78,"""""""['đậu nành', 'Đậu nành', 'sức khỏe', 'sữa đậu nành', 'đậu', 'cơ thể', 'giàu đậu nành', 'hạt đậu nành', 'đậu nành hàng', 'Sữa đậu nành', 'sản phẩm', 'Thực phẩm đậu nành', 'giàu chất dinh dưỡng', 'thực phẩm', 'uống sữa đậu nành', 'sữa đậu nành lạnh', 'chế phẩm', 'đậu nành thường xuyên', 'lợi ích sức khỏe', 'xương', 'bệnh', 'hạn chế uống sữa đậu nành', 'lợi', '23 gram protein đậu nành']"""""""
79,"""""""['Công ty Phượng Hoàng', 'Công ty TNHH Tập đoàn Quốc tế Phượng Hoàng', 'giấy phép xây dựng', 'quy định', 'phép', 'UBND TP Bắc Ninh', 'Công ty TNHH Tập đoàn quốc tế Phượng Hoàng', 'điều chỉnh', 'cơ quan chức năng', 'xây dựng', 'phường Đáp Cầu', 'xuất trình', 'công trình xây dựng', 'cơ quan', 'quy hoạch', 'công trình vi phạm xây dựng', 'phép xây dựng công trình', 'Sở xây dựng', 'Công ty Phượng Hoàng thuê']"""""""
80,"""""""['chung cư', 'cư dân', 'quy định', 'quản lý', 'chủ đầu tư', 'vận hành', 'ban quản trị', 'phòng cháy chữa cháy', 'pháp luật', 'quản lý vận hành', 'chữa cháy', 'khiếu kiện', 'chung cư Artemis', 'tranh chấp', 'chấp hành', 'chung cư tái định cư cũ', 'chung cư chủ yếu', 'chung cư thương mại', 'chung cư phát sinh', 'chung cư cao cấp', 'chung cư quý I', 'chung cư Season Avenues', 'công tác phòng cháy chữa cháy', 'công năng', 'cộng đồng dân cư']"""""""
81,"""""""['bệnh', 'Y tế', 'ổ dịch', 'bạch hầu', 'trường hợp tiếp xúc', 'bệnh nhân', 'tình hình bệnh bạch hầu', 'tiếp xúc', 'bệnh bạch hầu', 'mắc bệnh', 'trường hợp mắc bệnh bạch hầu', 'Cục trưởng Cục Y tế dự phòng', 'trường hợp', 'dịch', 'miễn dịch phòng bệnh', 'mắc', 'trường hợp nghi mắc bạch hầu', 'trường hợp xác định mắc bệnh bạch hầu', 'vắc xin phòng bệnh', 'bệnh CovidD-19']"""""""
82,"""""""['tìm kiếm', 'sạt lở', 'nạn nhân', 'chết', 'khối lượng', 'tìm kiếm cứu nạn huyện Bắc Mê', 'báo cáo', 'khối lượng đất đá sạt ước', 'bị thương', 'đất vùi lấp', 'địa bàn huyện', 'lực lượng', 'Ban chỉ huy Phòng chống thiên tai', 'Bắc Mê']"""""""
83,"""""""['ứng dụng VNeID', 'thông tin', 'tích hợp giấy tờ xe', 'giấy phép lái xe', 'giấy tờ', 'xe', 'VNeID', 'Đăng ký xe', 'Tích hợp thông tin', 'tích hợp giấy phép lái xe', 'mục Ví giấy tờ', 'giấy đăng ký xe', 'ứng dụng', 'xác thực thông tin', 'đăng ký xe', 'giấy', 'mục thông tin', 'nhập thông tin', 'giấy phép']"""""""
84,"""""""['lương', 'giá', 'hàng hóa', 'mặt hàng', 'giá cả bình ổn', 'giá cả hàng hóa', 'hàng', 'mặt hàng thiết yếu', 'lương cơ sở', 'thị trường', 'tăng giá', 'tác động', 'mặt hàng tăng giá', 'giảm giá', 'cơ bản giá', 'hưởng lương hưu chính thức', 'mặt bằng giá', 'tăng giá hàng hóa bất hợp lý', 'Tài chính', 'kê khai giá', 'cơ quan', 'chương trình khuyến mãi', 'niêm yết giá', 'giá niêm yết', 'giỏ hàng', 'áp dụng', 'kinh tế']"""""""
85,"""""""['cơ quan', 'tài sản', 'quy định', 'tài sản cố định', 'tổ chức', 'tài sản công', 'nâng cấp', 'giao quản lý tài sản kết cấu hạ tầng', 'Tài chính', 'đất', 'thuê', 'quyền', 'bàn giao tài sản', 'hạch toán tài sản']"""""""
86,"""""""['lãi suất vay mua', 'lãi', 'lãi suất', 'cố định', 'mua', 'khoản vay', 'ngân hàng', 'khách hàng', 'thị trường bất động sản', '6', 'khách hàng vay mua', 'áp dụng', 'khoản vay mua']"""""""
87,"""""""['giá', 'giá tiêu', 'Việt Nam', 'trồng tiêu', 'Brazil', 'trồng hồ tiêu', 'Thị trường hồ tiêu', 'giá thành sản xuất', 'hàng', 'hồ tiêu', 'giá tiêu Việt Nam', 'cung tiêu', 'Giá tiêu', 'kg', 'Giá hồ tiêu']"""""""
88,"""""""['sàn giao dịch xăng dầu', 'sàn giao dịch', 'sàn giao dịch hàng hóa', 'giá', 'mô hình', 'Việt Nam', 'bình ổn', 'thị trường', 'bình ổn giá', 'giá cả', 'tác động', 'cơ chế thị trường', 'cạnh sàn giao dịch xăng dầu', 'hóa', 'giá xăng dầu', 'thành lập sàn giao dịch', 'thành lập sàn giao dịch xăng dầu', 'xăng dầu', 'Sàn giao dịch', 'thiết lập sàn giao dịch xăng dầu', 'Mô hình sàn giao dịch', 'cơ chế giao dịch xăng dầu', 'sàn giao dịch chứng khoán', 'sàn giao dịch nông sản']"""""""
89,"""""""['tuần', 'kế hoạch', 'cơ quan trung ương', 'Chứng khoán tuần', 'kỳ', 'mã', 'tuần giao dịch', 'ròng tuần', 'địa phương', 'nhà đầu tư nước ngoài', '483,4 tỷ', '375,9 tỷ', '292,8 tỷ', '203,7 tỷ', '448,1 tỷ', '274,3 tỷ', '79,7 tỷ', '16,9 tỷ', '12,6 tỷ', '32 tỷ', '30,5 tỷ', '16 tỷ', 'cổ phiếu']"""""""
90,"""""""['kỳ', 'hãng', 'tàu bay', 'hãng hàng không', 'ngành hàng không', 'đường bay nội địa', '2023', 'số lượng máy bay', 'hãng bay', 'tàu', 'Hàng không', 'đội tàu bay', 'thuê tàu bay', 'hoạt động hàng không', 'khai thác tàu bay', 'hãng hàng không Việt Nam', 'hãng hàng không Vietjet', 'cảng hàng không', 'Cục Hàng không', 'hãng hàng không buộc', '10', 'bay khai thác', 'phương án', 'thị trường hàng không', 'tổng số tàu bay', 'hãng hàng không báo cáo']"""""""
91,"""""""['lệ phí trước bạ', 'phí trước bạ', 'Tài chính', 'đề xuất', 'ô tô sản xuất', 'thu lệ phí trước bạ', 'xe', '50', 'ngành công nghiệp ô tô', 'mua ô tô', 'phí', 'người dân', 'lệ phí', 'ô tô', 'Hà Nội', 'thuế trước bạ', 'xe ô tô', 'phát triển', 'chi phí mua ô tô', 'chủ xe đăng ký phí trước bạ', 'cam kết quốc tế']"""""""
92,"""""""['Việt Nam', 'lao động nước ngoài', 'giấy phép lao động', 'EuroCham', 'báo cáo', 'thị thực', 'cải thiện', 'đầu tư', 'Nghị định', '“ dai dẳng ”', 'môi trường đầu tư', 'thu hút đầu tư', 'phép lao động', 'nhà đầu tư', 'cải thiện môi trường đầu tư Việt Nam']"""""""
93,"""""""['Hà Giang', 'xảy', 'sạt lở', 'Người dân cung cấp', 'ô tô 7 chỗ', 'xe khách', 'Ảnh', '3']"""""""
94,"""""""['đồng bào dân tộc thiểu số', 'Chương trình MTQG 1719', 'cộng đồng', 'đồng bào', '2024', 'dân tộc thiểu số', 'Dự án 5', 'Tiểu dự án 2', 'Tiểu dự án 1', 'miền núi', 'chương trình', 'Tờ trình', 'tổng vốn', 'chính sách dân tộc', 'tổng vốn dự kiến giao', '328 tỷ đồng', '323,6 tỷ đồng', '4,88 tỷ đồng', '55,2 tỷ đồng', '45 tỷ đồng', '25,4 tỷ đồng', '27,8 tỷ đồng', '4,2 tỷ đồng']"""""""
95,"""""""['miền núi', 'đồng bào dân tộc thiểu số', 'phát triển kinh tế', 'đồng bào đồng bào dân tộc thiểu số', 'sản xuất', 'doanh nghiệp', 'dân tộc thiểu số', 'thanh niên', 'phát triển sản xuất', 'địa bàn tỉnh', 'miền núi khởi nghiệp', 'tiêu thụ hàng hóa', 'khởi nghiệp', 'cơ sở sản xuất', 'người dân', 'triển khai', 'liên kết hợp tác phát triển sản xuất', 'hộ kinh doanh', 'HTX', 'đồng bào dân tộc', 'thu nhập', 'lập nghiệp', 'sản xuất kinh doanh', 'Thanh Sơn', 'Tân Sơn', 'giới thiệu', 'chất lượng hàng hóa', 'tiêu thụ sản phẩm', 'tiêu dùng', 'nông sản']"""""""
96,"""""""['chuỗi', 'huyện Nam Đông', '2', 'cam', 'đồng bào dân tộc thiểu số', 'miền núi', 'đồng bào', 'sản xuất', 'dân tộc thiểu số', 'huyện A Lưới', 'phát triển', 'sản xuất cam', 'nông dân sản xuất', 'xây dựng thương hiệu', 'chăn nuôi bò', 'sản phẩm cam Nam Đông', 'hiệu quả', 'Thừa Thiên Huế', 'sản phẩm Cam Nam', 'khu sản xuất', 'sản xuất hàng hóa', 'khâu sản xuất']"""""""
97,"""""""['PVMachino', 'lợi nhuận', 'chữa cháy', 'thuế quý I', '2023', 'quý I', '2024', 'thuế thu nhập doanh nghiệp quý I', 'công ty', 'quy định', 'phòng cháy', '2024 PVMachino']"""""""
98,"""""""['vận chuyển', 'than cám', 'than', 'chứng từ chứng minh nguồn gốc', 'tỉnh Thái Bình', 'Công an tỉnh Thái Bình', 'hóa đơn']"""""""
99,"""""""['Việt Nam', 'doanh nghiệp Đức', 'GBA', 'doanh nghiệp', 'Hiệp hội', 'Việt', 'Ziehl-Abegg', 'năng lượng xanh', 'doanh nghiệp Đức đầu tư', '“ Việt Nam', 'Việt Nam ”', 'Đức', 'phát triển', 'đầu tư Doanh nghiệp Đức', 'thị trường Việt Nam', 'hai doanh nghiệp Đức', 'giới doanh nghiệp Đức', 'đầu tư ”', 'kinh doanh', 'phát triển kinh tế Việt Nam', 'Doanh nghiệp Đức', 'Kärcher', 'hoạt động đầu tư', 'thị trường', 'Quảng Nam', 'môi trường đầu tư', 'doanh nghiệp Đức tận dụng']"""""""
100,"""""""['xuất khẩu nông sản', 'nông sản', 'thị trường', 'sản phẩm', 'kim ngạch xuất khẩu nông sản', 'xuất khẩu thô', 'Việt Nam', 'kim ngạch xuất khẩu nông', 'thủy sản ước', 'chất lượng', 'ngành nông nghiệp', 'xuất khẩu', 'lâm', 'gia tăng tỷ lệ xuất khẩu tinh', 'Thứ trưởng', 'nông', 'thị trường xuất khẩu', 'thực phẩm', 'nông sản Việt', 'song xuất khẩu', 'nông sản Việt Nam', 'nông nghiệp', 'đẩy mạnh xuất khẩu nông sản', 'xuất khẩu hàng hóa']"""""""
101,"""""""['Mỹ', 'quy định', 'doanh nghiệp xuất khẩu', 'Việt Nam', 'EU', 'lao động', 'doanh nghiệp', 'xuất khẩu', 'Sở Công Thương Hà Nội']"""""""
102,"""""""['dự toán', 'chính sách', '2025', 'thu ngân sách nhà nước', 'thu ngân sách', 'Tài chính', 'nhiệm vụ', 'dự án', 'địa phương', 'thu', 'lập dự toán ngân sách nhà nước', 'xây dựng dự toán thu ngân sách nhà nước', 'lập dự toán', 'quy định', 'Bộ trưởng', 'khoản thu', 'dự toán thu ngân sách nhà nước', 'Phó Vụ trưởng Vụ Ngân sách nhà nước', 'giao dự toán thu ngân sách', 'dự toán ngân sách nhà nước 2024', 'chi ngân sách nhà nước', '2021 thu ngân sách nhà nước', '2022 thu ngân sách nhà nước', 'Luật ngân sách nhà nước', 'xây dựng dự toán ngân sách nhà nước']"""""""
103,"""""""['tín dụng xanh', 'tổ chức tín dụng', 'dự án xanh', 'Việt Nam', 'vốn', 'hoạt động tín dụng xanh', 'xanh', 'chính sách', 'thẩm định', 'vốn tín dụng xanh', 'tài chính xanh', 'khoản tín dụng xanh', 'phát triển tín dụng xanh', 'dự án tín dụng xanh', 'tín dụng xanh xác định', 'ngành xanh', 'tài chính xanh Tài chính xanh', 'lĩnh vực tín dụng xanh', 'quy định', 'sản phẩm tín dụng xanh']"""""""
104,"""""""['nông nghiệp', 'Thủ đô', 'nông nghiệp Thủ đô', 'phát triển nông nghiệp', 'nông thôn', 'phát triển', 'quy hoạch', 'đất nông nghiệp', 'nông nghiệp đa', 'nông nghiệp dựa', 'phát triển nông nghiệp đô thị', 'sản phẩm nông nghiệp', 'Hà Nội', 'Không gian nông nghiệp', 'công nghiệp', 'văn minh nông nghiệp', 'nông nghiệp tinh hoa', 'yếu tố nông nghiệp', 'nông nghiệp Thủ đô hiện đại', 'Không gian phát triển nông nghiệp Thủ đô', 'đô thị', 'phát triển sản xuất nông nghiệp gắn', 'ngành nông nghiệp Hà Nội']"""""""
105,"""""""['Israel', 'Gaza', 'Hamas', 'Ai Cập', 'Dải Gaza', 'xung đột', 'Mỹ', 'thăm Israel', 'Palestine', 'quân đội Israel', 'con tin', 'Tổng thống Ai Cập Abdel-Fattah El-Sis', 'an ninh', 'Nam Gaza', '16/10', 'giải quyết', 'Nam Dải Gaza', 'Dải Gaza rơi', 'biên giới', 'Obeida', 'nỗ lực', 'Israel đe dọa', 'Chiến sự Israel-Hamas', 'hội nghị thượng đỉnh quốc tế']"""""""
106,"""""""['mưa', 'mưa to', 'to', 'mưa dông']"""""""
107,"""""""['mưa', 'mưa to', 'to', 'mưa dông', 'mưa 30']"""""""
108,"""""""['lựu', 'sức khỏe', 'hạt lựu', 'ép lựu', 'ăn lựu', 'ăn quả lựu', 'vitamin', 'giúp', 'quả lựu', 'tác dụng', 'cơ thể', 'vitamin C', 'lựu bạn', 'Hạt lựu', 'lựu còn', 'trái cây', 'dinh dưỡng', 'vỏ hạt lựu', 'hạt lựu không']"""""""
109,"""""""['bảo vệ biên giới', 'địa bàn', '“', 'kiểm tra', 'khu vực biên giới', 'địa phương', 'Thiếu tá Nguyễn Công Sơn', 'phát quang đường biên', 'Đồn Biên phòng', 'uy tín', 'biên giới', 'trật tự', 'Đồn Biên phòng Bản Máy', 'tuyên truyền', 'Thiếu tá Sơn', 'dạy', 'an toàn xã hội', 'duy trì ổn định an ninh chính trị', 'trật tự an toàn xã hội', 'địa bàn biên giới ”', 'tuyến biên giới', 'hoạt động', 'an ninh biên giới quốc gia', 'lực lượng Công an', 'mốc giới', 'tình hình biên giới', 'an ninh biên giới quốc gia ”', 'kiểm soát bảo vệ biên giới', 'an ninh', 'kiểm soát chặt biên giới', 'nhân dân', 'công tác', 'an ninh chính trị']"""""""
110,"""""""['lễ', 'gia chủ', 'đồng bào dân tộc Khơ Mú', 'dân tộc Khơ Mú', 'chủ lễ', 'nghi lễ', 'lễ vật', 'đồ lễ', 'Khơ Mú', 'mâm lễ vật', 'chủ lễ báo cáo']"""""""
111,"""""""['pano', 'trang trí', 'tranh cổ động', 'Cách mạng tháng Tám', 'Quốc khánh 2/9', 'tuyến phố', 'màu cờ', 'cờ hoa khu vực', 'trang trọng']"""""""
1,"""""""['the bank said', 'the U.K.', 'growth', 'in the second quarter', 'has not returned to the pre-pandemic trend', 'is likely to be the fastest-growing economy in ASEAN in 2024', 'if the recovery continues to broaden out', 'a spot it lost to Malaysia and the Philippines in 2022 and 2023']"""""""
2,"""""""['the bank said', 'the U.K.', 'growth', 'in the second quarter', 'has not returned to the pre-pandemic trend', 'is likely to be the fastest-growing economy in ASEAN in 2024', 'if the recovery continues to broaden out', 'a spot it lost to Malaysia and the Philippines in 2022 and 2023']"""""""
3,"""""""['mer', 'a souligné les diverses activités de la communauté vietnamienne de France', 'cet événement en l’honneur de la langue vietnamienne permet d’honorer les associations et les particuliers ayant eu des contributions à la préservation et à la promotion de la langue maternelle au sein de la communauté vietnamienne de France', ""l'étranger pour soutenir leur apprentissage de la langue vietnamienne"", 'Lê Thi Thu Hang a informé les Vietnamiens de France de la situation socio-économique du Vietnam', 'Plusieurs Vietnamiens de France présents', ""l'honneur la langue vietnamienne parmi les communautés vietnamiennes"", ""préserver la langue vietnamienne et d'autres valeurs traditionnelles"", 'l’événement ont exprimé leur espoir de bénéficier d’un plus grand soutien de la part du SCOV pour préserver et diffuser la langue vietnamienne']"""""""
4,"""""""['l’édification du socialisme au Vietnam', ""l'adhésion constante du Secrétaire général Nguyên Phu"", 'Affirmant que le Secrétaire général Nguyên Phu', 'Le Secrétaire général Nguyên Phu', 'Il a estimé que le Secrétaire général Nguyên Phu', 'a indiqué que sous la direction du Secrétaire général Nguyên Phu Trong', 'L’ancien dirigeant lao a dit que le Secrétaire général Nguyên Phu']"""""""
5,"""""""['children and the elderly', 'and tourism and entertainment activities in coastal areas', 'coastal and riverside areas', 'tourism areas and areas highly prone to landslides', 'to evacuate people in low-lying', 'and over 300 millimetres in some areas', 'calling on boats and ships operating in the sea to seek shelter and prevent fishing vessels and waterway transport vehicles from operating during strong winds and waves']"""""""
6,"""""""['the President of the Indian Confederation of Young Leaders', 'the ASEAN Confederation of Employers', 'the Federation of Cuban Women', 'the Socialist Youth of Venezuela', 'the Communist Youth Association of Switzerland', 'The President of the World Federation of Trade Unions', ""and the Permanent Secretariat of the ASEAN Confederation of Women’s Organisations sent condolences to the Vietnam Women's Union"", 'and the Federation of Trade Unions of Belarus also cabled letters and messages of condolences to the Vietnam General Confederation of Labour', 'The Secretariat of the European Left Party Alliance and the Central Committee of the Communist Party of Turkey extended condolence messages to the CPV Central Committee', 'Secretary of Foreign Affairs of the Philippines Enrique Manalo', 'He noted that under the sound leadership of the Party chief', 'and the Young Communist League of Nepal sent condolence messages to the Central Committee of the Ho Chi Minh Communist Youth Union', 'League condoled the Veterans ’ Association of Vietnam', 'The President of the Cambodian Women for Peace and Development Association', 'General Secretary of the Egyptian Communist Party Salah Adly extended a message of condolences to the CPV Central Committee', 'the Austrian Trade Union Federation', 'respect and profound grief for the Party General Secretary', 'General Secretary of the Egyptian Socialist Party Ahmed Bahaa El-Din Shaaban cabled another message to both the CPV Central Committee and the Vietnamese people']"""""""
7,"""""""['the people', 'and', 'the Politburo', 'and the people', 'and among the people', 'and the international community', 'the State', 'the country', 'and behaves reasonably and compassionately', 'and heightened consensus and solidarity within the Party', ""the formation and development of Vietnam's comprehensive and modern foreign affairs and diplomacy imbued with the"", 'Under the leadership and direction of the Party Central Committee', 'and overseas Vietnamese', ""and perfecting the Party's foreign policy"", 'and the reinforcement of national great solidarity', 'One of the diplomatic', 'and an active and responsible member of the international community', 'and traditional friends', 'and dialectical vision', 'morality and lifestyle', 'and exemplary behaviour', 'and professional competence', 'is the most comprehensive and complete reflection of the core and consistent contents regarding the philosophy', 'always taking the interests of the nation', ""and directives on building and perfecting the Party's and State's foreign policy during the renewal period"", 'the foreign affairs of the Party and State achieved many important results and historical accomplishments', 'the minister wrote', 'and the regime as the guiding principle in their actions', 'has made crucial and outstanding contributions to building and perfecting the theory and platform of the Party on the country’s socialist-oriented development']"""""""
8,"""""""['el secretario general Nguyen Phu', 'Bajo el liderazgo de Nguyen Phu Trong', 'corresponsales de la Agencia Vietnamita de Noticias en Vientián', 'la colaboración en materias de política', 'dijo que el proceso de Doi moi', 'mereciendo elogios de todo el mundo', 'gracias a la firme adhesión de Phu', 'Nguyen Phu', 'En el contexto de la compleja situación mundial actual', 'que siempre ha sido persistente en el marxismo-leninismo y la ideología de Ho Chi Minh para seguir el camino socialista', 'tras el deceso del secretario general Nguyen Phu Trong']"""""""
9,"""""""['diplomacia de bambú', 'de la Academia de Ciencias Sociales de China', 'director del Centro de Estudio de Vietnam de la Universidad de Industria de Zhejiang', 'la Orden de Amistad', 'Comentó que la concesión de Orden de la Estrella de Oro', 'el profesor y director del Instituto de Estudios de Vietnam de la Universidad de Zhengzhou', 'promoviendo la renovación en la teoría y la causa de la renovación', 'por sus logros en el campo de la teoría de la construcción del Partido', 'la gobernanza del Estado y la sociedad', 'y mejorando constantemente la vida de las personas', 'director del Centro de Investigación del Sudeste Asiático del Instituto de Estudio de Estrategias Globales y Asia', 'y el secretario general del Partido Comunista de China', 'el premio más alto del Partido y el Estado de Vietnam']"""""""
10,"""""""['el presidente de Rusia', 'y afirmó que', 'el presidente de Estados Unidos', 'el secretario general del Partido Comunista y presidente de China', 'talento y buena ética en los puestos de alto rango en el Partido', 'el profesor destacó los principales logros del líder del Partido', 'dijo el profesor', 'El profesor también destacó la huella del difunto líder en la política exterior de Vietnam', 'para describir la política exterior de Vietnam de “ más amigos', 'utilizando la imagen del árbol de bambú vietnamita', 'incluido el fortalecimiento y mejora de sus relaciones', 'se mantuvo firme en la protección del socialismo en Vietnam', 'En cuanto a las contribuciones del máximo dirigente a la política exterior de Vietnam']"""""""
11,"""""""['Argentina', 'Olympic Argentina', 'Messi', 'trận đấu', 'Olympic', 'trận', 'Argentina phiên bản', 'lứa cầu thủ', 'dàn cầu thủ']"""""""
12,"""""""['OPPO A3', 'mặt', 'độ', 'Màn hình', 'tùy', 'máy']"""""""
13,"""""""['cập nhật', 'Apple', 'tính năng', 'iOS 17', 'iOS']"""""""
14,"""""""['mặt', 'ứng dụng', 'xác thực', 'xác thực sinh trắc học', 'CCCD', 'thông báo', 'Cài đặt', 'xác thực khuôn mặt', 'ứng dụng ngân hàng']"""""""
15,"""""""['iOS 17.6', 'iPadOS 17.6', 'beta', 'tính năng', 'phát triển']"""""""
16,"""""""['OPPO A3', 'trải nghiệm', 'cấu hình', 'trọng lượng']"""""""
17,"""""""['Xiaomi', 'hệ thống', 'widget', 'tối ưu hóa', 'cải tiến', 'thông báo']"""""""
18,"""""""['Vivo Pad 3', 'vivo Pad 3', 'Pad 3', 'trải nghiệm mượt mà', 'Vivo Pad 3 chạy', 'độ', 'đáp ứng']"""""""
19,"""""""['màn hình', 'OPPO Reno12 F', 'Reno12 F', 'camera', 'giúp', 'Màn hình']"""""""
20,"""""""['Realme 12 4G', '128GB', 'microSD', 'mặt', 'dung lượng pin', 'màn hình']"""""""
21,"""""""['Cảm biến', 'ISOCELL JN5', 'ánh sáng yếu', 'nét tự động', 'giúp', 'Samsung', 'độ khúc xạ', 'kích thước', 'ISOCELL GNJ ISOCELL GNJ', 'ISOCELL GNJ']"""""""
22,"""""""['màn hình', 'mặt', 'độ', 'RAM 8GB', '8GB RAM']"""""""
23,"""""""['biểu tượng ứng dụng', 'ứng dụng', 'iOS 18', 'màn hình', 'ẩn ứng dụng', 'biểu tượng', 'màn hình khóa', 'cho phép', 'tùy', 'bốn ứng dụng']"""""""
24,"""""""['Apple', 'giá', 'kính', 'giá rẻ']"""""""
25,"""""""['quốc gia', 'YouTube Premium', 'Google', 'VPN', 'đăng ký', 'dịch vụ', 'quốc gia đăng ký', 'YouTube']"""""""
26,"""""""['HONOR Play 60 Plus', 'máy', 'khả năng', 'mặt', 'tính năng']"""""""
27,"""""""['tính năng', 'Google', 'Google Maps', 'doanh nghiệp', 'tính năng trò chuyện', 'khai tử', 'theo dõi']"""""""
28,"""""""['Honda CB300R', 'Động cơ', 'CB300R', 'thiết kế', 'cá tính']"""""""
29,"""""""['Lenovo Tab K11 LTE', 'giúp', 'Tab K11 LTE', 'chú ý', 'độ', '15W giúp Tab K11 LTE']"""""""
30,"""""""['Reno11 A', 'OPPO Reno11 A', 'OPPO Reno11 A bao gồm', 'game', 'camera', 'màn hình']"""""""
31,"""""""['TV360', 'ứng dụng TV360', 'sự kiện', 'Sự kiện', 'hâm mộ bóng đá', 'âm thanh sống động', 'trận cầu đỉnh cao', 'Nền tảng TV360', 'khán giả']"""""""
32,"""""""['vivo Y58 5G', 'khẩu độ f', 'Máy', 'Màn hình', 'Vivo Y58 5G trang bị màn hình LCD']"""""""
33,"""""""['Apple', 'Apple Account', 'Apple ID', 'Apple ID đánh dấu']"""""""
34,"""""""['vivo V40', 'độ phân giải 50MP', 'khẩu độ f', 'pin', 'kết hợp']"""""""
35,"""""""['mặt', 'sạc', 'chất lượng hình ảnh', 'trang bị viên pin dung lượng 6000 mAh']"""""""
36,"""""""['Đồng hồ', 'Watch FE', 'Galaxy Watch FE', 'đồng hồ', 'ECG.Galaxy Watch FE', 'Galaxy Watch 4']"""""""
37,"""""""['Reno12 Pro', 'hai phiên bản Reno12', '12GB RAM', 'thiết lập']"""""""
38,"""""""['Xiaomi 14 Civi', 'màn hình', 'Xiaomi', '14 Civi', 'độ', '7.45 mm']"""""""
39,"""""""['pin', 'iPhone', 'iPhone 15', 'hoạt động', 'thiết bị']"""""""
40,"""""""['cuộc gọi', 'ghi âm', 'tính năng ghi âm', 'chép', 'iOS 18']"""""""
41,"""""""['Apple Wallet', 'gửi tiền', 'iOS 18', 'Apple Pay', 'tiền']"""""""
42,"""""""['Redmi Buds 6S', 'Tai', 'Xiaomi', 'Redmi K70', 'giúp']"""""""
43,"""""""['khách hàng', 'Viettel', '5.000 khách hàng', 'Đức', 'data roaming', 'giới hạn', '2 gói cước', 'Khách hàng đi Đức']"""""""
44,"""""""['sửa chữa', 'Apple', 'Apple Watch', 'sửa chữa miễn phí']"""""""
45,"""""""['Acer Aspire C24', 'Acer Aspire C27', 'Acer trang bị', 'Aspire C24', 'công nghệ Acer PurifiedVoice', 'trang bị màn hình IPS']"""""""
46,"""""""['Narzo N63', 'tốc độ', 'kết hợp', 'khẩu độ f', 'đáp ứng', 'cảm biến độ sâu']"""""""
47,"""""""['mẫu', 'mẫu PZ13', 'P16', 'mẫu laptop ProArt', 'RAM']"""""""
48,"""""""['ChatGPT', 'OpenAI', 'ChatGPT Plus', 'truy cập', 'hoạt động', '14 h']"""""""
49,"""""""['OnePlus Nord 4', 'thiết bị', 'độ', 'OnePlus Nord 4 hứa hẹn', 'màn hình']"""""""
50,"""""""['Redmi 13 4G', 'Sản phẩm', 'độ phân giải Full-HD', 'độ phân giải 108MP']"""""""
51,"""""""['OpenAI', 'Apple', 'Microsoft', 'Siri', 'hợp tác', 'dịch vụ', 'chatbot']"""""""
52,"""""""['Google Photos', 'Google', 'trang', 'tính năng', 'cải tiến', 'lượt thích', 'ảnh', 'nền tảng', 'bộ nhớ', 'thông báo', 'dữ liệu thông báo', 'lưu ảnh', 'Đồng hồ đo', 'mạng xã hội']"""""""
53,"""""""['iOS', 'iOS 17.5.1', 'phát hành', 'nâng cấp', 'iOS 17.6']"""""""
54,"""""""['YouTube', 'video', 'tắt trình chặn quảng cáo', 'quảng cáo', 'trình chặn quảng cáo', 'biện pháp', 'bật trình chặn quảng cáo', 'Tắt trình chặn quảng cáo']"""""""
55,"""""""['linh kiện', 'nhiệt', 'kính cường lực', 'nhiệt độ', 'bể cá', 'vỏ máy', 'giúp', 'hệ thống', 'mát']"""""""
56,"""""""['giúp', 'công cụ', 'Siri', 'tính năng', 'Apple', 'nâng', 'nhắn', 'Apple Watch', 'phát triển', 'cải tiến', 'Tìm kiếm']"""""""
57,"""""""['Galaxy M35 5G', 'giúp', 'M35 5G', 'độ', 'Thiết bị', 'giúp chụp ảnh']"""""""
58,"""""""['Redmi A3x', 'Xiaomi', 'camera selfie 5MP', 'giống hệt cụm camera', 'Xiaomi Redmi A3x nổi bật']"""""""
59,"""""""['iPhone 16', 'nút bấm', 'Apple', 'nút điện dung', 'nút Action', 'nhấn nút']"""""""
60,"""""""['Enco Air 4 Pro', 'hộp sạc', 'Tai', 'phát nhạc', 'Enco Air 4 Pro nổi bật']"""""""
61,"""""""['POCO Pad', 'POCO Pad chạy', 'màn hình', 'POCO Pad sở hữu màn hình LCD 12,1 inch độ phân giải 2.650 x 1.600 pixel']"""""""
